Iteration,a,b,x,Execution Time (Seconds)
1,1,1,2,0.0
2,1,2,3,0.0
3,1,3,4,0.0
4,1,4,5,0.0
5,1,5,6,0.0
6,1,6,7,0.0
7,1,7,8,0.0
8,1,8,9,0.0
9,1,9,10,0.0
10,2,1,3,0.0
11,2,2,4,0.0
12,2,3,5,0.0
13,2,4,6,0.0
14,2,5,7,0.0
15,2,6,8,0.0
16,2,7,9,0.0
17,2,8,10,0.0
18,2,9,11,0.0
19,3,1,4,0.0
20,3,2,5,0.0
21,3,3,6,0.0
22,3,4,7,0.0
23,3,5,8,0.0
24,3,6,9,0.0
25,3,7,10,0.0
26,3,8,11,0.0
27,3,9,12,0.0
28,4,1,5,0.0
29,4,2,6,0.0
30,4,3,7,0.0
31,4,4,8,0.0
32,4,5,9,0.0
33,4,6,10,0.0
34,4,7,11,0.0
35,4,8,12,0.0
36,4,9,13,0.0
37,5,1,6,0.0
38,5,2,7,0.0
39,5,3,8,0.0
40,5,4,9,0.0
41,5,5,10,0.0
42,5,6,11,0.0
43,5,7,12,0.0
44,5,8,13,0.0
45,5,9,14,0.0
46,6,1,7,0.0
47,6,2,8,0.0
48,6,3,9,0.0
49,6,4,10,0.0
50,6,5,11,0.0
51,6,6,12,0.0
52,6,7,13,0.0
53,6,8,14,0.0
54,6,9,15,0.0
55,7,1,8,0.0
56,7,2,9,0.0
57,7,3,10,0.0
58,7,4,11,0.0
59,7,5,12,0.0
60,7,6,13,0.0
61,7,7,14,0.0
62,7,8,15,0.0
63,7,9,16,0.0
64,8,1,9,0.0
65,8,2,10,0.0
66,8,3,11,0.0
67,8,4,12,0.0
68,8,5,13,0.0
69,8,6,14,0.0
70,8,7,15,0.0
71,8,8,16,0.0
72,8,9,17,0.0
73,9,1,10,0.0
74,9,2,11,0.0
75,9,3,12,0.0
76,9,4,13,0.0
77,9,5,14,0.0
78,9,6,15,0.0
79,9,7,16,0.0
80,9,8,17,0.0
81,9,9,18,0.0
82,1,1,2,0.0
83,1,2,3,0.0
84,1,3,4,0.0
85,1,4,5,0.0
86,1,5,6,0.0
87,1,6,7,0.0
88,1,7,8,0.0
89,1,8,9,0.0
90,1,9,10,0.0
91,2,1,3,0.0
92,2,2,4,0.0
93,2,3,5,0.0
94,2,4,6,0.0
95,2,5,7,0.0
96,2,6,8,0.0
97,2,7,9,0.0
98,2,8,10,0.0
99,2,9,11,0.0
100,3,1,4,0.0
101,3,2,5,0.0
102,3,3,6,0.0
103,3,4,7,0.0
104,3,5,8,0.0
105,3,6,9,0.0
106,3,7,10,0.0
107,3,8,11,0.0
108,3,9,12,0.0
109,4,1,5,0.0
110,4,2,6,0.0
111,4,3,7,0.0
112,4,4,8,0.0
113,4,5,9,0.0
114,4,6,10,0.0
115,4,7,11,0.0
116,4,8,12,0.0
117,4,9,13,0.0
118,5,1,6,0.0
119,5,2,7,0.0
120,5,3,8,0.0
121,5,4,9,0.0
122,5,5,10,0.0
123,5,6,11,0.0
124,5,7,12,0.0
125,5,8,13,0.0
126,5,9,14,0.0
127,6,1,7,0.0
128,6,2,8,0.0
129,6,3,9,0.0
130,6,4,10,0.0
131,6,5,11,0.0
132,6,6,12,0.0
133,6,7,13,0.0
134,6,8,14,0.0
135,6,9,15,0.0
136,7,1,8,0.0
137,7,2,9,0.0
138,7,3,10,0.0
139,7,4,11,0.0
140,7,5,12,0.0
141,7,6,13,0.0
142,7,7,14,0.0
143,7,8,15,0.0
144,7,9,16,0.0
145,8,1,9,0.0
146,8,2,10,0.0
147,8,3,11,0.0
148,8,4,12,0.0
149,8,5,13,0.0
150,8,6,14,0.0
151,8,7,15,0.0
152,8,8,16,0.0
153,8,9,17,0.0
154,9,1,10,0.0
155,9,2,11,0.0
156,9,3,12,0.0
157,9,4,13,0.0
158,9,5,14,0.0
159,9,6,15,0.0
160,9,7,16,0.0
161,9,8,17,0.0
162,9,9,18,0.0
