Iteration,a,b,x,Execution Time (Seconds),Total Time
1,1,1,2,2.600019797682762e-06,2.600019797682762e-06
2,1,2,3,4.500034265220165e-06,7.100054062902927e-06
3,1,3,4,5.00003807246685e-06,1.2100092135369778e-05
4,1,4,5,5.600042641162872e-06,1.770013477653265e-05
5,1,5,6,6.00004568696022e-06,2.370018046349287e-05
6,1,6,7,6.500049494206905e-06,3.0200229957699776e-05
7,1,7,8,7.00005330145359e-06,3.7200283259153366e-05
8,1,8,9,7.400056347250938e-06,4.4600339606404305e-05
9,1,9,10,7.79994297772646e-06,5.2400282584130764e-05
10,2,1,3,8.699949830770493e-06,6.110023241490126e-05
11,2,2,4,9.09995287656784e-06,7.02001852914691e-05
12,2,3,5,9.499955922365189e-06,7.970014121383429e-05
13,2,4,6,9.899958968162537e-06,8.960010018199682e-05
14,2,5,7,1.0199961252510548e-05,9.980006143450737e-05
15,2,6,8,1.0599964298307896e-05,0.00011040002573281527
16,2,7,9,1.0999967344105244e-05,0.00012139999307692051
17,2,8,10,1.1399970389902592e-05,0.0001327999634668231
18,2,9,11,1.1899974197149277e-05,0.00014469993766397238
19,3,1,4,1.2599979527294636e-05,0.000157299917191267
20,3,2,5,1.2999982573091984e-05,0.000170299899764359
21,3,3,6,1.3299984857439995e-05,0.000183599884621799
22,3,4,7,1.3699987903237343e-05,0.00019729987252503633
23,3,5,8,1.4099990949034691e-05,0.00021139986347407103
24,3,6,9,1.4499993994832039e-05,0.00022589985746890306
25,3,7,10,1.4899997040629387e-05,0.00024079985450953245
26,3,8,11,1.5300000086426735e-05,0.0002560998545959592
27,3,9,12,1.5700003132224083e-05,0.00027179985772818327
28,4,1,5,1.6400008462369442e-05,0.0002881998661905527
29,4,2,6,1.680001150816679e-05,0.0003049998776987195
30,4,3,7,1.7200014553964138e-05,0.00032219989225268364
31,4,4,8,1.750001683831215e-05,0.0003396999090909958
32,4,5,9,1.7900019884109497e-05,0.0003575999289751053
33,4,6,10,1.8300022929906845e-05,0.00037589995190501213
34,4,7,11,1.880002673715353e-05,0.00039469997864216566
35,4,8,12,1.9200029782950878e-05,0.00041390000842511654
36,4,9,13,1.950003206729889e-05,0.00043340004049241543
37,5,1,6,2.0200037397444248e-05,0.0004536000778898597
38,5,2,7,2.0600040443241596e-05,0.00047420011833310127
39,5,3,8,2.1000043489038944e-05,0.0004952001618221402
40,5,4,9,2.1300045773386955e-05,0.0005165002075955272
41,5,5,10,2.1700048819184303e-05,0.0005382002564147115
42,5,6,11,2.220005262643099e-05,0.0005604003090411425
43,5,7,12,2.2600055672228336e-05,0.0005830003647133708
44,5,8,13,2.289994154125452e-05,0.0006059003062546253
45,5,9,14,2.329994458705187e-05,0.0006292002508416772
46,6,1,7,2.3999949917197227e-05,0.0006532002007588744
47,6,2,8,2.4399952962994576e-05,0.000677600153721869
48,6,3,9,2.4799956008791924e-05,0.0007024001097306609
49,6,4,10,2.519995905458927e-05,0.0007276000687852502
50,6,5,11,2.559996210038662e-05,0.0007532000308856368
51,6,6,12,2.5999965146183968e-05,0.0007791999960318208
52,6,7,13,2.6399968191981316e-05,0.0008055999642238021
53,6,8,14,2.6899971999228e-05,0.0008324999362230301
54,6,9,15,2.759997732937336e-05,0.0008600999135524035
55,7,1,8,2.8199981898069382e-05,0.0008882998954504728
56,7,2,9,2.8699985705316067e-05,0.0009169998811557889
57,7,3,10,2.8999987989664078e-05,0.000945999869145453
58,7,4,11,2.9399991035461426e-05,0.0009753998601809144
59,7,5,12,2.9799994081258774e-05,0.0010051998542621732
60,7,6,13,3.0199997127056122e-05,0.0010353998513892293
61,7,7,14,3.060000017285347e-05,0.0010659998515620828
62,7,8,15,3.100000321865082e-05,0.0010969998547807336
63,7,9,16,3.15000070258975e-05,0.001128499861806631
64,8,1,9,3.2100011594593525e-05,0.0011605998734012246
65,8,2,10,3.260001540184021e-05,0.0011931998888030648
66,8,3,11,3.370002377778292e-05,0.0012268999125808477
67,8,4,12,3.400002606213093e-05,0.0012608999386429787
68,8,5,13,3.4400029107928276e-05,0.001295299967750907
69,8,6,14,3.4800032153725624e-05,0.0013300999999046326
70,8,7,15,3.520003519952297e-05,0.0013653000351041555
71,8,8,16,3.570003900676966e-05,0.0014010000741109252
72,8,9,17,3.6100042052567005e-05,0.0014371001161634922
73,9,1,10,3.6800047382712364e-05,0.0014739001635462046
74,9,2,11,3.730005118995905e-05,0.0015112002147361636
75,9,3,12,3.77000542357564e-05,0.00154890026897192
76,9,4,13,3.8199941627681255e-05,0.0015871002105996013
77,9,5,14,3.869994543492794e-05,0.0016258001560345292
78,9,6,15,3.93999507650733e-05,0.0016652001067996025
79,9,7,16,3.9899954572319984e-05,0.0017051000613719225
80,9,8,17,4.029995761811733e-05,0.0017454000189900398
81,9,9,18,4.069996066391468e-05,0.0017860999796539545
